doakọnna 	 perservere 	 persévérer
azọngban lẹ 	 responsibilities 	 responsabilités
azọ́njiawu 	 miracle 	 miracle
alọkẹ lẹ 	 rings 	 anneaux
ajinnakú 	 elephant 	 éléphant
Ahọluzangbe 	 Friday 	 vendredi
akpajlɛ̌ 	 example 	 exemple
etọn 	 his , her , its 	 son
alà 	 branch 	 branche
ayò lẹ 	 garlics 	 ails
awhàn 	 war 	 guerre
anazọ́n lẹ 	 artworks 	 oeuvres d'art
ajà 	 cage 	 cage
Zósun 	 September 	 septembre
hoho 	 old 	 vieux
tonudidọ 	 politics 	 politique
ahọlu 	 king 	 roi
alọtlọ lẹ 	 lizards 	 lézards
etẹwẹ 	 what 	 quoi
atin lẹ 	 trees 	 arbres
ayú 	 leather 	 cuir
ali lẹ 	 roads 	 routes
jaale 	 please 	 s’il vous plaît
ṣidopotọ 	 sixth 	 sixième
agaxomɛ 	 sky 	 ciel
lìnsin 	 swim 	 nager
mọhò 	 pregnant 	 enceinte
todin 	 now 	 maintenant
agasá 	 crab 	 crabe
alọnuwe lẹ 	 brochures 	 brochures
afọgbọntẹn 	 walkway 	 passerelle
Aflikanu 	 African 	 africain , africaine
Mikaẹli 	 Michael 	 Michel
alọtutlu 	 generosity 	 générosité
afọzedaitọ lẹ 	 ambassadors 	 ambassadeurs
anọ́bẹ́nu 	 bra 	 soutien-gorge
apà susu 	 wounds 	 blessures
Liyasun 	 July 	 juillet
azọngban 	 responsibility 	 responsabilité
aga 	 up 	 en haut
awutu lẹ 	 sicknesses 	 maladies
aklasu 	 vulture 	 vautour
ayi 	 kidney 	 rein
kakadoi 	 forever 	 toujours
dawhẹ 	 judge 	 juge
po 	 and 	 et
agbàwhinwhlẹn 	 competition 	 compétition
egbé 	 today 	 aujourd’hui
fide 	 somewhere 	 quelque part
afọdaitẹn lẹ 	 toilets 	 toilettes
asu 	 husband 	 mari
koklo-jonọ 	 yellow 	 jaune
Sẹgbe 	 Sunday 	 dimanche
afọvi lẹ 	 toes 	 orteils
ajalẹn 	 harp 	 harpe
Agọsi 	 Agosi is an Ogu name given to a female child. It's a name given to a baby whose feet or buttocks are positioned to come out of the vagina first (breech baby). 	 Agosi est un nom Ogu donné à une fille. C'est un nom donné à un bébé dont les pieds ou les fesses sont positionnés pour sortir du vagin en premier.
whète 	 short 	 courte
akpotin 	 box 	 boîte
amà 	 leaf 	 feuille
awù lẹ 	 clothes 	 vêtements
asiọvi lẹ 	 axes 	 axe
apọsteli lẹ 	 apostles 	 apôtres
mì 	 you 	 vous
ahwànnɛ 	 pigeon 	 pigeon
awọntin 	 nose 	 nez
akiza lẹ 	 brooms 	 balais
awe 	 two 	 deux
ogbẹ̀ 	 life 	 vie
alokan lẹ 	 telephones 	 téléphones
adọ̀ 	 root 	 racine
akla lẹ 	 biscuits 	 biscuits
aliplitẹ̀n lẹ 	 crossroads 	 carrefours
Mawuzọnsu 	 Mawuzonsu or Mauzonsu is an Ogu name given to a male or female child. It means "God's works are numerous". 	 Mawuzonsu ou Mauzonsu est un nom Ogu donné à un enfant mâle ou femelle. Cela signifie "les oeuvres de Dieu sont nombreuses".
yẹ 	 you 	 tu
afanumɛ 	 slave 	 esclave
